Month,Day,Theme,Verse Reference,Month,Day,Theme,Verse Reference
,10,Victory,Romans 8:38-39,,8,Prayer,Psalm 145:18
,11,Trust,Psalm 20:7,,9,Prayer,Psalm 66:19
,12,Trust,Psalm 56:3-4,,10,Prayer,1 John 5:14-15
,13,Trust,James 4:7,,11,Prayer,Psalm 65:2
,14,Trust,Psalm 18:2,,12,Wisdom,Isaiah 65:24
,15,Courage,Joshua 1:9,,13,Wisdom,James 1:5
,16,Courage,2 Corinthians 12:9,,14,Wisdom,Proverbs 2:6
,17,Courage,Psalm 46:1-2,,15,Wisdom,Proverbs 19:20
,18,Courage,Revelation 12:11,,16,Wisdom,Proverbs 16:16
,19,Calling,Isaiah 60:1,,17,Wisdom,Proverbs 3:13
,20,Calling,Ephesians 6:11,,18,Wisdom,Proverbs 15:33
,21,Patience,Isaiah 30:15,,19,Wisdom,Proverbs 12:15
,22,Joy,Psalm 5:11,,20,Wisdom,Proverbs 13:18
,23,Renewal,2 Corinthians 4:16,,21,Wisdom,Proverbs 4:23
,24,Renewal,Romans 12:2,,22,Good Works,James 3:17
,25,Renewal,Psalm 143:8,,23,Good Works,Proverbs 22:4
,26,Renewal,Hebrews 10:23,,24,Good Works,Ephesians 2:10
,27,Renewal,Psalm 108:4,,25,Good Works,Titus 3:8
,28,Renewal,2 Timothy 1:7,,26,Good Works,Matthew 5:16
,29,Comfort,Psalm 34:19,,27,Good Works,Hebrews 13:16
,30,Comfort,Psalm 138:7,,28,Good Works,Colossians 3:23-24
,31,Hope,Romans 15:5,,29,Good Works,Proverbs 16:3
Apr,1,Joy,Nehemiah 8:10,,30,Good Works,1 Corinthians 15:58
,2,Joy,Proverbs 17:22,Oct,1,Kindness,1 Thessalonians 5:11
,3,Joy,James 1:2-3,,2,Kindness,Hebrews 3:13
,4,Joy,Psalm 126:5,,3,Kindness,Ephesians 4:32
,5,Joy,Proverbs 16:24,,4,Kindness,Colossians 3:14
,6,Joy,Psalm 30:5,,5,Kindness,Proverbs 27:9
,7,Joy,Proverbs 24:16,,6,Kindness,Romans 15:2
,8,Purity,Psalm 51:10,,7,Kindness,Luke 6:31
,9,Joy,John 15:11,,8,Kindness,1 Peter 4:9
,10,Giving,Acts 20:35,,9,Kindness,Luke 6:35
,11,Giving,Psalm 34:8,,10,Generosity,2 Corinthians 9:7
,12,Giving,Psalm 145:9,,11,Kindness,1 Peter 3:8
,13,Giving,Romans 14:17,,12,Kindness,Romans 12:15
,14,Forgiveness,1 Thessalonians 5:15,,13,Kindness,1 John 4:11
,15,Dedication,1 Corinthians 15:58,,14,Kindness,Galatians 6:2
,16,Kindness,Colossians 3:12,,15,Friendship,Proverbs 17:17
,17,Worth,Proverbs 31:25,,16,Friendship,Proverbs 12:25
,18,Worth,Hebrews 6:10,,17,Friendship,Proverbs 27:17
,19,Worth,Psalm 37:23-24,,18,Friendship,Ecclesiastes 4:9-10
,20,Speech,Proverbs 15:1,,19,Generosity,Proverbs 28:27
,21,Speech,1 Corinthians 13:4-7,,20,Speech,Proverbs 29:7
,22,Speech,Romans 12:10,,21,Speech,Romans 13:10
,23,Speech,Proverbs 21:21,,22,Speech,Proverbs 18:24
,24,Perseverance,Galatians 6:9,,23,Speech,Ephesians 4:29
,25,Blessing,Psalm 144:15,,24,Speech,Proverbs 15:4
,26,Light,Psalm 97:11,,25,Speech,Psalm 141:3
,27,Unity,Philippians 2:3-4,,26,Speech,Proverbs 25:11
,28,Generosity,Proverbs 11:25,,27,Endurance,1 Corinthians 13:13
,29,Generosity,Luke 6:38,,28,Peace,Romans 14:19
,30,Unity,Psalm 133:1,,29,Love,1 Peter 4:8
May,1,Faith,Hebrews 11:1,,30,Purity,Ephesians 4:31
,2,Faith,Mark 11:24,,31,Guidance,Colossians 4:5
,3,Faith,Matthew 17:20,Nov,1,Praise,Psalm 100:4-5
,4,Faith,2 Corinthians 5:7,,2,Praise,Colossians 3:15
,5,Faith,Romans 4:20-21,,3,Praise,1 Chronicles 16:34
,6,Faith,James 1:6,,4,Praise,Psalm 95:2
,7,Faith,Luke 1:37,,5,Praise,Psalm 50:14
,8,Faith,Hebrews 10:35-36,,6,Praise,Psalm 34:1
,9,Faith,1 Peter 1:8-9,,7,Praise,Psalm 106:1
,10,Faith,Jude 1:20-21,,8,Praise,Psalm 116:17
,11,Identity,Ephesians 2:10,,9,Praise,Psalm 135:3
,12,Identity,Ephesians 2:8-9,,10,Praise,Psalm 147:7
,13,Identity,John 1:12,,11,Praise,Psalm 107:8
,14,Identity,Romans 10:9,,12,Praise,Psalm 145:7
,15,Identity,John 11:25-26,,13,Praise,Psalm 150:6
,16,Identity,Colossians 1:27,,14,Praise,Psalm 118:1
,17,Identity,1 Peter 2:9,,15,Praise,Psalm 136:1
,18,Identity,1 Corinthians 7:17,,16,Praise,Psalm 69:30
,19,Calling,Ephesians 1:18,,17,Praise,Psalm 68:4
,20,Calling,2 Timothy 1:9,,18,Praise,Psalm 96:2
,21,Calling,Philippians 3:14,,19,Praise,Psalm 99:5
,22,Calling,Psalm 37:4,,20,Praise,Psalm 71:8
,23,Hope,2 Peter 1:3,,21,Praise,Psalm 103:2
,24,Hope,John 14:6,,22,Praise,Psalm 9:1
,25,Hope,Isaiah 58:11,,23,Praise,Psalm 148:1-2
,26,Hope,Genesis 12:2,,24,Praise,Psalm 149:4
,27,Hope,Psalm 138:8,,25,Praise,Psalm 57:9
,28,Hope,Colossians 2:6-7,,26,Praise,Psalm 105:1
,29,Hope,Hebrews 11:6,,27,Praise,Psalm 113:3
,30,Goodness,Psalm 100:5,,28,Praise,Psalm 134:2
,31,Goodness,Psalm 145:13,,29,Praise,Psalm 138:1
Jun,1,Guidance,Psalm 23:3,,30,Praise,Psalm 96:4
,2,Guidance,Psalm 119:105,Dec,1,Blessing,Numbers 6:24-26
,3,Guidance,Psalm 143:10,,2,Blessing,Ephesians 1:3
,4,Guidance,Proverbs 16:20,,3,Blessing,Deuteronomy 28:6
,5,Guidance,Psalm 37:23,,4,Blessing,Psalm 5:12
,6,Guidance,Psalm 32:4,,5,Blessing,Malachi 3:10
,7,Guidance,Psalm 27:11,,6,Blessing,Proverbs 10:22
,8,Guidance,Psalm 84:5,,7,Blessing,2 Corinthians 9:10
,9,Guidance,John 15:7,,8,Blessing,Psalm 3:8
,10,Guidance,Psalm 27:1,,9,Blessing,Romans 8:32
,11,Guidance,Psalm 25:4-5,,10,Blessing,1 Timothy 4:8
,12,Guidance,Proverbs 19:21,,11,Blessing,Genesis 1:28
,13,Guidance,Psalm 32:8,,12,Blessing,John 1:16
,14,Guidance,Isaiah 30:21,,13,Salvation,John 3:17
,15,Guidance,John 8:12,,14,Salvation,1 Corinthians 1:5
,16,Direction,Matthew 4:19,,15,Salvation,Ephesians 1:7
,17,Direction,Psalm 34:13,,16,Blessing,Psalm 67:6-7
,18,Direction,Psalm 139:23-24,,17,Blessing,Genesis 26:12
,19,Direction,James 1:5,,18,Blessing,2 Corinthians 8:9
,20,Direction,Psalm 5:12,,19,Blessing,Psalm 37:26
,21,Direction,Proverbs 16:9,,20,Blessing,Luke 1:45
,22,Direction,Proverbs 16:3,,21,Prophecy,Isaiah 7:14
,23,Direction,Psalm 25:9,,22,Identity,John 1:12
,24,Direction,Proverbs 11:5,,23,Hope,2 Peter 3:18
,25,Direction,Psalm 23:6,,24,Christmas,Luke 2:10-11
,26,Direction,Psalm 119:68,,25,Christmas,Matthew 1:23
,27,Direction,Psalm 85:12,,26,Eternity,Revelation 21:4
,28,Direction,Genesis 50:20,,27,Eternity,Revelation 22:5
,29,Direction,Exodus 33:14,,28,Eternity,Philippians 3:20
,30,Direction,1 Chronicles 16:11,,29,Eternity,1 Peter 1:3-4
,,,,,30,Eternity,1 Corinthians 2:9
,,,,,31,Hope,Hebrews 10:23
